Series Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.34515381,..,..,54.60171509,..,..,60.53794479
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.03504181,..,..,48.47862244,..,..,55.94488525
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.06116104,..,..,66.93756104,..,..,73.85059357
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.07337189,..,..,73.26258087,..,..,78.66426849
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.08931351,..,..,46.95684433,..,..,56.21119308
Adequacy of social insurance programs (% of total welfare of beneficiary households),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adequacy of social safety net programs (% of total welfare of beneficiary households),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net enrollment rate, primary (% of primary school age children)",..,..,..,..,..,..,..,..,..,..,72.23847961,72.05667114,72.84748077,74.93791199,75.61253357,76.79070282,77.48922729,77.54260254,76.51748657,76.87902069,78.05299377,78.78800201,79.21382904,79.45391846,79.6886673,80.27330017,81.00308228,81.27155304,81.84906769,82.43630981,82.40090179,82.56191254,82.25988007,82.36580658,82.47753143,82.26151276,82.08258057,82.18408966,83.10225677,84.04303741,84.88690948,85.30193329,86.22776794,87.48872375,88.55802155,88.68218231,89.09499359,90.31699371,90.57015991,90.43885803,90.63243866,90.75306702,91.04958344,90.97431183,90.96498108,91.02166748,91.07296753,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",..,..,..,..,..,..,..,..,..,..,64.49928284,63.93973923,64.89749908,67.84452057,68.84980774,70.59472656,71.40905762,70.94850922,69.04612732,69.27314758,70.65711212,71.68087769,72.2609787,72.65455627,73.17363739,74.29707336,75.5847702,76.10355377,77.02166748,77.9160614,77.87393188,78.04946136,77.86195374,78.24243927,78.60257721,78.43800354,78.42118835,78.66452026,79.72329712,81.00042725,82.01976776,82.58426666,83.64920044,85.78395844,86.96926117,87.20023346,87.79959869,88.98506165,89.49378967,89.65756226,89.88490295,90.08379364,90.23419189,90.10903168,90.08393097,90.01403046,89.99801636,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",..,..,..,..,..,..,..,..,..,..,79.64974976,79.82765961,80.45955658,81.7321167,82.09409332,82.73377991,83.32605743,83.87535095,83.69081879,84.17530823,85.13912964,85.58795166,85.85987854,85.94986725,85.91242981,85.98368073,86.18212891,86.21408081,86.46684265,86.75981903,86.72933197,86.87409973,86.46018982,86.30168152,86.17420197,85.90675354,85.5707016,85.53463745,86.31484222,86.9298172,87.60324097,87.87162018,88.6620636,89.0951767,90.05075836,90.0740509,90.31082153,91.56643677,91.57952881,91.1704483,91.33209991,91.37892914,91.8110733,91.78288269,91.78816223,91.96321869,92.07791901,..
Adjusted net national income (annual % growth),..,..,..,..,..,..,..,..,..,..,..,3.415739164,5.50123921,6.016935622,-1.535106739,0.796536651,4.676983586,3.491287269,4.702393998,1.723606931,0.059810285,2.09138104,0.885392159,4.056338915,5.85255302,5.079957281,3.532222257,2.561532545,3.100136469,3.356248497,3.339409612,1.197965355,2.517054425,1.785641537,3.831502235,3.047324132,2.23474206,3.739659381,1.770220679,2.946296238,3.484364722,1.759310928,3.600125935,1.642058563,5.57277523,3.607612132,4.896679518,5.178589916,-0.070140133,-1.194837743,4.956088778,2.911830174,2.755261741,2.2747177,2.973397632,3.317891148,2.060128778,..
Adjusted net national income (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,1.69217E+13,1.74997E+13,1.84624E+13,1.95732E+13,1.92727E+13,1.94263E+13,2.03348E+13,2.10448E+13,2.20344E+13,2.24142E+13,2.24276E+13,2.28966E+13,2.30993E+13,2.40363E+13,2.54431E+13,2.67356E+13,2.76799E+13,2.8389E+13,2.92691E+13,3.02514E+13,3.12616E+13,3.16361E+13,3.24324E+13,3.30115E+13,3.42764E+13,3.53209E+13,3.61102E+13,3.74606E+13,3.81238E+13,3.9247E+13,4.06145E+13,4.1329E+13,4.28169E+13,4.352E+13,4.59453E+13,4.76028E+13,4.99338E+13,5.25196E+13,5.24828E+13,5.18557E+13,5.44257E+13,5.60105E+13,5.75538E+13,5.88629E+13,6.06132E+13,6.26243E+13,6.39144E+13,..
Adjusted net national income (current US$),..,..,..,..,..,..,..,..,..,..,2.57727E+12,2.83576E+12,3.2746E+12,3.98878E+12,4.49657E+12,4.99483E+12,5.41775E+12,6.10928E+12,7.20405E+12,8.16574E+12,9.08718E+12,9.35944E+12,9.33301E+12,9.49467E+12,9.89964E+12,1.03926E+13,1.23761E+13,1.40597E+13,1.58489E+13,1.65323E+13,1.85381E+13,1.96742E+13,2.09623E+13,2.12438E+13,2.29154E+13,2.55087E+13,2.61794E+13,2.61745E+13,2.62947E+13,2.71751E+13,2.79516E+13,2.78057E+13,2.88392E+13,3.23825E+13,3.64881E+13,3.93873E+13,4.27429E+13,4.79519E+13,5.18375E+13,4.94833E+13,5.44257E+13,6.0154E+13,6.17096E+13,6.33541E+13,6.53353E+13,6.2115E+13,6.26315E+13,..
Adjusted net national income per capita (annual % growth),..,..,..,..,..,..,..,..,..,..,..,1.282247744,3.3892572,3.960236925,-3.424756055,-1.058686096,2.833875433,1.706594564,2.898792113,-0.041590952,-1.663860389,0.318265084,-0.899696969,2.231832175,4.035074553,3.2739209,1.731675223,0.765940403,1.307832315,1.58759712,1.573901046,-0.447136293,0.934817382,0.223132425,2.283507139,1.514305734,0.773739305,2.27866349,0.374873264,1.572060801,2.134296255,0.452191142,2.293854984,0.373602625,4.262488365,2.328889293,3.606774251,3.892076285,-1.29702455,-2.396047378,3.695011487,1.707190902,1.531186784,1.056556221,1.752877945,2.106920757,0.872862978,..
Adjusted net national income per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,4591.097741,4649.966988,4807.566329,4997.957346,4826.789499,4775.68895,4911.026025,4994.837329,5139.627279,5137.489659,5052.009004,5068.087785,5022.490352,5134.583908,5341.768197,5516.653462,5612.183983,5655.169968,5729.130108,5820.085613,5911.688001,5885.254699,5940.271083,5953.525753,6089.474939,6181.688207,6229.518359,6371.468119,6395.35305,6495.891888,6634.533465,6664.534238,6817.408989,6842.879008,7134.555929,7300.711838,7564.032033,7858.42993,7756.504165,7570.65465,7850.391209,7984.412373,8106.66864,8192.320152,8335.921525,8511.552786,8585.846979,..
Adjusted net national income per capita (current US$),..,..,..,..,..,..,..,..,..,..,699.2515427,753.5123042,852.7008962,1018.522268,1126.149949,1227.913015,1308.429598,1449.996421,1680.380371,1871.646788,2046.966754,2071.678821,2029.275288,2028.227754,2078.427664,2144.425738,2509.296472,2800.738873,3102.266802,3180.652343,3505.614667,3659.980564,3839.418598,3831.2481,4071.097375,4464.405422,4516.319003,4451.870361,4410.994808,4497.826276,4565.995299,4483.818924,4591.837183,5091.676457,5666.013252,6040.713427,6474.755486,7174.971878,7661.125894,7224.292531,7850.391209,8575.073244,8692.036723,8817.382623,8985.337996,8442.344046,8413.505174,..
"Adjusted net savings, excluding particulate emission damage (% of GNI)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.63164724,14.64328902,14.19390599,14.2615885,12.77016291,11.84186737,11.03601763,10.09703574,9.372458986,10.92890382,9.91335404,9.242816887,10.35810338,10.60534282,10.39683657,8.848397503,8.304343721,8.108800292,7.486397222,8.920972207,9.035301019,11.00411513,11.44508934,11.2077707,10.66586503,10.58175954,9.698925971,9.185497323,9.460968574,10.12119871,10.31738251,11.32536839,11.51757736,10.10905744,8.623200721,10.37997453,10.65431994,10.99149591,11.02719035,11.66645776,12.04817294,10.93945721,..
"Adjusted net savings, excluding particulate emission damage (current US$)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net savings, including particulate emission damage (% of GNI)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.533130059,8.010620121,7.831670474,7.216433469,8.663272043,8.786077012,10.75903007,11.2016782,10.9741979,10.44052277,10.35967803,9.480213215,8.97048341,9.252849815,9.920514903,10.11790115,11.13008841,11.32101917,9.909694154,8.415233122,10.16841071,10.43918226,10.7715373,10.80459724,11.44334299,11.82185646,10.71675365,..
"Adjusted net savings, including particulate emission damage (current US$)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: carbon dioxide damage (% of GNI),..,..,..,..,..,..,..,..,..,..,0.639842753,0.65213319,0.63974526,0.605140349,0.581513144,0.580364386,0.611270098,0.612570399,0.597418416,0.595502835,0.586250872,0.617769555,0.672028859,0.710497392,0.750348616,0.777964881,0.712130874,0.688517696,0.681928159,0.723835347,0.688793362,0.697323444,0.808214827,0.86912502,0.854190541,0.826916118,0.87309501,0.92001252,0.950671026,0.974618923,1.020822395,1.090980157,1.127013682,1.109700638,1.094103612,1.110641737,1.124403684,1.090568313,1.076107198,1.164340095,1.162099681,1.143072482,1.191175745,1.21883509,1.251255563,1.404611179,1.472325033,..
Adjusted savings: carbon dioxide damage (current US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: consumption of fixed capital (% of GNI),..,..,..,..,..,..,..,..,..,..,11.91860237,12.07852999,12.15166011,12.07855789,12.32868536,12.90344896,12.7947064,12.92087459,13.10119284,13.22492448,13.71214314,14.01124312,14.5208194,14.56247859,14.27430995,14.41812318,14.87192611,14.96998281,14.88470097,14.93201884,15.64888601,15.92670885,15.88066947,16.13469795,15.94040163,15.85025225,15.39229907,15.21534209,15.20513965,15.31499603,15.26595626,15.41827538,15.49390005,15.45790188,15.2534465,15.15115788,15.05720676,15.08322319,15.48583539,16.255383,15.69455373,15.61522832,15.77701524,15.87321808,15.98359976,16.35162896,16.6999505,..
Adjusted savings: consumption of fixed capital (current US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: education expenditure (% of GNI),..,..,..,..,..,..,..,..,..,..,5.088446516,4.819191233,4.781006165,4.596327302,4.534831692,4.772601019,4.875531555,4.747517493,4.731217828,4.596776544,4.55304907,4.725760304,4.754765823,4.778614467,4.93676401,4.803776915,4.11976749,4.817616007,4.120241066,4.069138682,4.087567593,4.151416247,4.45389327,4.457746921,4.551610617,4.317749245,4.320887048,4.38084925,4.048652299,4.002251433,4.05752686,4.179162079,4.216210438,4.310658233,4.206074144,4.129436633,4.172207253,4.120253639,4.157687847,4.249801792,4.259645987,4.253792519,4.133099546,4.091466201,4.155274684,4.097533702,4.082776798,..
Adjusted savings: education expenditure (current US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: energy depletion (% of GNI),..,..,..,..,..,..,..,..,..,..,0.018652652,0.18574835,0.202623949,0.256945537,1.715459298,1.460722171,1.610013438,1.625392847,1.388162618,2.916619723,3.193748685,2.377483282,1.485039721,1.680977606,1.676195123,1.586852839,0.609090971,0.778773188,0.649426789,0.913422788,1.107280595,0.648547577,0.623465161,0.628965981,0.527640421,0.517524869,0.695693052,0.603174336,0.303926424,0.498894238,1.022196199,0.89420891,0.771456166,0.853314937,1.172585189,1.495017442,1.581434596,1.463293726,2.020256583,1.001765543,1.259480649,1.730288399,1.564694081,1.392831117,1.235086264,0.559641597,0.571077953,..
Adjusted savings: energy depletion (current US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: gross savings (% of GNI),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.95729216,24.92276993,24.75331414,24.73147529,25.0545191,24.97996745,23.45997445,22.16036411,21.70280589,22.80785099,21.99724105,21.41404409,22.08465855,22.86887124,23.04774031,22.33299755,21.52607661,21.06029607,20.73483738,21.7761031,22.01549674,23.73705027,23.89373326,23.70046556,23.51864255,23.91301834,22.98991084,22.43834061,22.66582678,23.55378422,24.11268798,25.21376012,25.45673388,24.98794387,23.08447732,24.72137768,25.48479531,25.89176204,25.91577038,26.38339878,26.54668446,25.89276628,..
Adjusted savings: mineral depletion (% of GNI),..,..,..,..,..,..,..,..,..,..,0.143497682,0.094812116,0.086806297,0.158268653,0.20993381,0.104094821,0.100305048,0.080655921,0.056418405,0.10190037,0.153788704,0.100497554,0.077131112,0.088482205,0.061006263,0.06426191,0.045206808,0.057555651,0.121676883,0.102503784,0.071435608,0.050732215,0.046389059,0.03160923,0.04283735,0.050453224,0.042635585,0.043574287,0.035858002,0.032266287,0.048272041,0.035404749,0.040790575,0.048117442,0.082339586,0.131931265,0.258838804,0.375304098,0.402865776,0.236775904,0.430865319,0.541758188,0.44358817,0.438464297,0.341570197,0.211087545,0.217177949,..
Adjusted savings: mineral depletion (current US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: natural resources depletion (% of GNI),..,..,..,..,..,..,..,..,..,..,0.1577614,0.304479078,0.312402198,0.448315386,1.961070222,1.611499693,1.749013139,1.770966457,1.499853769,3.071366377,3.412525038,2.544565163,1.641038439,1.853749254,1.809824332,1.709831585,0.714325991,0.894430629,0.738601474,0.953734487,1.105398798,0.690282853,0.725192931,0.705371373,0.616441817,0.625134947,0.794538409,0.700444009,0.390895121,0.574208688,1.117488667,0.974031004,0.858693925,0.958588728,1.304583803,1.679650733,1.900311147,1.902784957,2.495918247,1.302085044,1.75894924,2.353989617,2.084149962,1.905533459,1.656135472,0.849503596,0.873912608,..
Adjusted savings: net forest depletion (% of GNI),..,..,..,..,..,..,..,..,..,..,0.033096116,0.029610541,0.029978091,0.043346991,0.037711628,0.049615599,0.038717483,0.06743189,0.057912339,0.042185318,0.045217749,0.042723617,0.063075102,0.066525582,0.053851226,0.040461116,0.052639931,0.04934183,0.046036679,0.048261658,0.055772063,0.049837045,0.046650528,0.041788902,0.041671577,0.052798508,0.050099479,0.047389927,0.045752061,0.034253486,0.031538761,0.031277759,0.035893255,0.046481535,0.036184758,0.035993776,0.038715138,0.047020832,0.051509326,0.052813847,0.054049754,0.053920501,0.056892442,0.056697641,0.060703921,0.069075941,0.075554427,..
Adjusted savings: net forest depletion (current US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: net national savings (% of GNI),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.0538432,12.12806353,11.83243956,11.63028245,11.82959462,11.26782432,9.448731335,7.639544707,7.140327304,8.533541043,7.579117872,6.54211798,7.114675741,7.984170267,8.115721464,6.684111539,5.599367755,5.179626597,4.600139435,5.835701479,6.165244493,8.344751208,8.678391164,8.49532591,8.203646526,8.647062077,7.571635467,6.944440563,7.207924892,8.300337715,8.961530096,10.15655336,10.37351069,9.502108475,6.829094317,9.026823948,9.86956699,10.1147468,10.0425523,10.39979902,10.1950555,9.192815777,..
Adjusted savings: net national savings (current US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: particulate emission damage (% of GNI),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.315267444,0.2937236,0.277129818,0.269963754,0.257700165,0.249224007,0.245085061,0.243411141,0.233572797,0.225342252,0.222081513,0.218712756,0.215013913,0.20811876,0.200683811,0.199481354,0.195279982,0.196558187,0.199363285,0.207967599,0.211563824,0.215137675,0.219958604,0.222593111,0.223114772,0.226316477,0.22270356,..
Adjusted savings: particulate emission damage (current US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",86.1630991,86.01392854,85.53468295,84.20769399,82.93558561,81.83297233,80.83144323,79.94091765,78.57869559,77.24285289,76.03265197,74.83447555,73.87825539,73.47327102,73.0405476,72.4720852,71.71661378,70.78139655,70.3726218,69.92659506,69.52384168,69.05137663,68.62024716,68.10164408,67.71473378,67.45576911,67.26693031,67.17574103,66.50071138,65.93780362,65.49094479,65.11039893,64.82857798,64.15236997,63.36349348,62.37042519,61.11201082,59.70517966,58.56364982,57.26883723,55.8488989,54.29089823,52.63320223,51.2305651,50.01795565,49.07182209,48.31585215,47.80024867,47.58760002,47.40064207,47.14067466,46.78599422,46.35671365,46.01364503,45.61000893,45.1461497,44.56454938,..
Adolescents out of school (% of lower secondary school age),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.20985985,26.29077911,25.38451958,24.72337914,23.22913933,20.94775009,20.60074043,20.32117081,19.62969971,18.59659004,18.22653961,17.91456985,17.16527939,16.90366936,16.26045036,16.24243927,16.20216942,16.04758072,15.91197968,..
"Adolescents out of school, female (% of female lower secondary school age)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.08184052,29.13401031,28.17531967,27.34374046,25.46186066,22.81010056,22.17317009,21.91172981,21.0614109,19.99398994,19.35210991,18.8761692,17.83279037,17.3138504,16.65592957,16.43289948,16.25519943,16.20766068,16.1687603,..
"Adolescents out of school, male (% of male lower secondary school age)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.46727943,23.57473946,22.72339058,22.2263298,21.10412979,19.18013,19.11134911,18.81830025,18.27940941,17.28120995,17.16832924,17.01118088,16.53820992,16.51861,15.88922977,16.06409073,16.15255928,15.89785004,15.6718502,..
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1900000,2300000,2600000,2900000,3200000,3400000,3400000,3200000,3100000,2900000,2800000,2700000,2600000,2600000,2500000,2500000,2400000,2400000,2300000,2300000,2200000,2100000,2100000,2000000,2000000,1900000,1900000,1800000
Adults (ages 15+) newly infected with HIV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1800000,2100000,2300000,2600000,2900000,3000000,3000000,2900000,2700000,2500000,2400000,2300000,2200000,2100000,2100000,2100000,2000000,2000000,2000000,2000000,1900000,1900000,1800000,1800000,1800000,1700000,1700000,1600000
Age dependency ratio (% of working-age population),73.49498688,74.22371665,75.05882547,75.82728966,76.29626854,76.39015661,76.93687679,77.00575773,76.7748907,76.45376786,76.16570265,76.15086366,76.04690352,75.85317886,75.48805942,74.9262514,74.4996123,73.87355562,73.08960323,72.20825215,71.28424712,70.48607083,69.69675206,68.92250464,68.1687934,67.44905259,67.15308089,66.80735132,66.43584367,66.0425118,65.6256819,65.48462519,65.16793324,64.71979884,64.20250381,63.63029948,62.9762581,62.35801762,61.71448601,60.96866599,60.11010319,59.42915924,58.64522617,57.81176894,57.00950867,56.28246062,55.7830738,55.31415958,54.89838511,54.54914471,54.27146784,54.14903404,54.0631172,54.02130449,54.02238498,54.06138596,54.20173723,54.35603797
"Age dependency ratio, old (% of working-age population)",8.586673434,8.70154213,8.783595722,8.834005676,8.861287236,8.866196195,8.990819786,9.089280257,9.166400097,9.230353141,9.284990715,9.400460832,9.496995686,9.576806509,9.643943337,9.6993774,9.8131865,9.912233213,9.988009609,10.02706597,10.02530333,10.03152411,9.993431055,9.934397063,9.881728096,9.850126929,9.890794169,9.936091459,9.987841116,10.04565346,10.10693512,10.22108023,10.33400095,10.43474499,10.51973546,10.58591861,10.68589606,10.76364473,10.82581667,10.88144265,10.9348753,11.0324955,11.12178135,11.19987564,11.25935536,11.30002692,11.37232744,11.4277932,11.48202538,11.55247126,11.65128604,11.79678723,11.96321621,12.15421992,12.37781187,12.63895442,12.95798559,13.30362223
